646413381	Yellow-plumed Honeyeater-646413381	Yellow-plumed Honeyeater	17883	Yellow-plumed Honeyeater	Méliphage orné	Ptilotula ornata	Passeriformes	Meliphagidae (Honeyeaters)
646413702	Rainbow Bee-eater-646413702	Rainbow Bee-eater	9828	Rainbow Bee-eater	Guêpier arc-en-ciel	Merops ornatus	Coraciiformes	Meropidae (Bee-eaters)
646413902	Rainbow Bee-eater-646413902	Rainbow Bee-eater	9828	Rainbow Bee-eater	Guêpier arc-en-ciel	Merops ornatus	Coraciiformes	Meropidae (Bee-eaters)
646414514	Mulga Parrot-646414514	Mulga Parrot	12517	Mulga Parrot	Perruche multicolore	Psephotellus varius	Psittaciformes	Psittaculidae (Old World Parrots)
646416708	Red-backed Kingfisher-646416708	Red-backed Kingfisher	10123	Red-backed Kingfisher	Martin-chasseur à dos de feu	Todiramphus pyrrhopygius	Coraciiformes	Alcedinidae (Kingfishers)
646418080	Masked Woodswallow-646418080	Masked Woodswallow	19749	Masked Woodswallow	Langrayen masqué	Artamus personatus	Passeriformes	Artamidae (Woodswallows, Bellmagpies, and Allies)
646418698	White-browed Woodswallow-646418698	White-browed Woodswallow	19750	White-browed Woodswallow	Langrayen bridé	Artamus superciliosus	Passeriformes	Artamidae (Woodswallows, Bellmagpies, and Allies)
646428575	Crested Bellbird-646428575	Crested Bellbird	18989	Crested Bellbird	Carillonneur huppé	Oreoica gutturalis	Passeriformes	Oreoicidae (Australo-Papuan Bellbirds)
646429005	Regent Parrot-646429005	Regent Parrot	12261	Regent Parrot	Perruche mélanure	Polytelis anthopeplus	Psittaciformes	Psittaculidae (Old World Parrots)
646430491	Rufous Whistler-646430491	Rufous Whistler	19558	Rufous Whistler	Siffleur itchong	Pachycephala rufiventris	Passeriformes	Pachycephalidae (Whistlers and Allies)
646452470	Chestnut-rumped Thornbill-646452470	Chestnut-rumped Thornbill	18415	Chestnut-rumped Thornbill	Acanthize à croupion roux	Acanthiza uropygialis	Passeriformes	Acanthizidae (Thornbills and Allies)
646452970	Spiny-cheeked Honeyeater-646452970	Spiny-cheeked Honeyeater	17858	Spiny-cheeked Honeyeater	Méliphage à bavette	Acanthagenys rufogularis	Passeriformes	Meliphagidae (Honeyeaters)
646453669	Malleefowl-646453669	Malleefowl	814	Malleefowl	Léipoa ocellé	Leipoa ocellata	Galliformes	Megapodiidae (Megapodes)
646454787	White-winged Triller-646454787	White-winged Triller	18810	White-winged Triller	Échenilleur tricolore	Lalage tricolor	Passeriformes	Campephagidae (Cuckooshrikes)
646455696	Striped Honeyeater-646455696	Striped Honeyeater	18178	Striped Honeyeater	Méliphage lancéolé	Plectorhyncha lanceolata	Passeriformes	Meliphagidae (Honeyeaters)
646457530	Striated Pardalote-646457530	Striated Pardalote	18235	Striated Pardalote	Pardalote à point jaune	Pardalotus striatus	Passeriformes	Pardalotidae (Pardalotes)
646458066	Striated Grasswren-646458066	Striated Grasswren	17607	Striated Grasswren	Amytis strié	Amytornis striatus	Passeriformes	Maluridae (Fairywrens)
646460603	Superb Parrot-646460603	Superb Parrot	12260	Superb Parrot	Perruche de Barraband	Polytelis swainsonii	Psittaciformes	Psittaculidae (Old World Parrots)
646460954	Superb Parrot-646460954	Superb Parrot	12260	Superb Parrot	Perruche de Barraband	Polytelis swainsonii	Psittaciformes	Psittaculidae (Old World Parrots)
646471803	Little Friarbird-646471803	Little Friarbird	18181	Little Friarbird	Polochion à menton jaune	Philemon citreogularis	Passeriformes	Meliphagidae (Honeyeaters)
646474248	Rock Pigeon-646474248	Rock Pigeon (Feral Pigeon)	1853	Rock Pigeon	Pigeon biset	Columba livia	Columbiformes	Columbidae (Pigeons and Doves)
646475807	Superb Parrot-646475807	Superb Parrot	12260	Superb Parrot	Perruche de Barraband	Polytelis swainsonii	Psittaciformes	Psittaculidae (Old World Parrots)
646476464	Crimson Rosella-646476464	Crimson Rosella (Yellow)	12480	Crimson Rosella	Perruche de Pennant	Platycercus elegans	Psittaciformes	Psittaculidae (Old World Parrots)
646485790	Dusky Woodswallow-646485790	Dusky Woodswallow	19761	Dusky Woodswallow	Langrayen sordide	Artamus cyanopterus	Passeriformes	Artamidae (Woodswallows, Bellmagpies, and Allies)
646486656	White-throated Treecreeper-646486656	White-throated Treecreeper	17575	White-throated Treecreeper	Échelet leucophée	Cormobates leucophaea	Passeriformes	Climacteridae (Australasian Treecreepers)
646487961	Red-capped Robin-646487961	Red-capped Robin	21747	Red-capped Robin	Miro à front rouge	Petroica goodenovii	Passeriformes	Petroicidae (Australasian Robins)
646488384	Little Eagle-646488384	Little Eagle	8048	Little Eagle	Aigle nain	Hieraaetus morphnoides	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
646488797	Painted Honeyeater-646488797	Painted Honeyeater	18179	Painted Honeyeater	Méliphage peint	Grantiella picta	Passeriformes	Meliphagidae (Honeyeaters)
646489019	Painted Honeyeater-646489019	Painted Honeyeater	18179	Painted Honeyeater	Méliphage peint	Grantiella picta	Passeriformes	Meliphagidae (Honeyeaters)
646490602	Purple-backed Fairywren-646490602	Purple-backed Fairywren	17654	Purple-backed Fairywren	Mérion violacé	Malurus assimilis	Passeriformes	Maluridae (Fairywrens)
646515789	Western Gerygone-646515789	Western Gerygone	18488	Western Gerygone	Gérygone à queue blanche	Gerygone fusca	Passeriformes	Acanthizidae (Thornbills and Allies)
646516207	Gray-crowned Babbler-646516207	Gray-crowned Babbler	18504	Gray-crowned Babbler	Pomatostome à calotte grise	Pomatostomus temporalis	Passeriformes	Pomatostomidae (Pseudo-Babblers)
646516546	Gray-crowned Babbler-646516546	Gray-crowned Babbler	18504	Gray-crowned Babbler	Pomatostome à calotte grise	Pomatostomus temporalis	Passeriformes	Pomatostomidae (Pseudo-Babblers)
646517152	Crimson Rosella-646517152	Crimson Rosella (Yellow)	12480	Crimson Rosella	Perruche de Pennant	Platycercus elegans	Psittaciformes	Psittaculidae (Old World Parrots)
